n_snp,var_cos,cache_pool_cos,ref_pool_cos,cache_relerr,ref_relerr
1,1.0,0.9999992251396179,0.9999992251396179,0.0011098913382738829,0.0012407019967213273
1,0.9999999403953552,0.9999964833259583,0.9999958872795105,0.002666472690179944,0.0028471469413489103
1,0.9999998807907104,0.9999992847442627,0.9999991655349731,0.0011795962927863002,0.0012922072783112526
1,0.9999999403953552,0.9999964237213135,0.9999962449073792,0.0029991192277520895,0.0031177205964922905
1,1.0,0.9999991655349731,0.999998927116394,0.0013984281104058027,0.0015287607675418258
1,0.9999999403953552,0.9999983310699463,0.9999982118606567,0.001820348552428186,0.0019577285274863243
1,1.0000001192092896,0.9999991655349731,0.9999988079071045,0.001224018749780953,0.0015141782350838184
1,0.9999998807907104,0.9999991655349731,0.999998927116394,0.001389871584251523,0.00148398382589221
2,0.9999988079071045,0.9999978542327881,0.999997615814209,0.0021421220153570175,0.0021886753384023905
1,0.9999998807907104,0.9999998211860657,0.9999996423721313,0.000679612101521343,0.0007987170247361064
1,1.0,0.9999973177909851,0.9999970197677612,0.0023813953157514334,0.0023773708380758762
1,0.9999999403953552,0.9999994039535522,0.9999994039535522,0.0010396144352853298,0.0011689122766256332
2,0.9999915957450867,0.9999834299087524,0.999983549118042,0.007103207055479288,0.007091411389410496
1,1.0,0.999999463558197,0.9999995231628418,0.0010215488728135824,0.0010949698043987155
1,1.0000001192092896,0.9999879002571106,0.9999873638153076,0.004922716878354549,0.005033102352172136
2,0.9999840259552002,0.9999818205833435,0.9999806880950928,0.006223051808774471,0.0063978759571909904
1,1.0000001192092896,0.9999983310699463,0.999998152256012,0.0022220034152269363,0.0022724273148924112
1,0.9999999403953552,0.9999989867210388,0.9999988675117493,0.0016049894038587809,0.0016332537634298205
1,0.9999999403953552,0.9999876022338867,0.9999871850013733,0.00501395296305418,0.005104037467390299
2,0.9897388219833374,0.9999752044677734,0.9999757409095764,0.0077537898905575275,0.007440654095262289
1,1.0,0.9999956488609314,0.9999953508377075,0.002971458714455366,0.003070093458518386
1,1.0,0.9999938011169434,0.999992847442627,0.003512015799060464,0.0037561687640845776
2,0.9999918937683105,0.9999968409538269,0.9999964237213135,0.003209158778190613,0.003640518756583333
1,1.0,0.9999996423721313,0.9999993443489075,0.001053178682923317,0.001046383986249566
1,0.9999998807907104,0.9999993443489075,0.9999994039535522,0.0010169337037950754,0.001159374718554318
1,1.0000001192092896,0.9999979734420776,0.9999980926513672,0.002842404181137681,0.00278304610401392
1,0.9999999403953552,0.9999995231628418,0.9999993443489075,0.001607429003342986,0.001676609506830573
2,0.9999955892562866,0.9999976754188538,0.9999975562095642,0.0021560320165008307,0.002221022266894579
1,1.0,0.9999772310256958,0.9999767541885376,0.0069792792201042175,0.007138136774301529
1,1.0000001192092896,0.9999985098838806,0.9999985694885254,0.0016825204947963357,0.001729146228171885
2,0.999997615814209,0.9999980330467224,0.9999978542327881,0.0019774336833506823,0.002061443403363228
1,0.9999998807907104,0.999980092048645,0.9999794960021973,0.006598702631890774,0.006719701923429966
1,1.0,0.9999980926513672,0.9999979138374329,0.0021258604247123003,0.0022190005984157324
1,1.0,0.99997478723526,0.9999743700027466,0.010371915996074677,0.01045082975178957
1,1.0000001192092896,0.9999943971633911,0.9999943971633911,0.005688595585525036,0.00572956120595336
1,0.9999999403953552,0.9999979734420776,0.9999973773956299,0.0020908110309392214,0.002331449883058667
2,0.9999618530273438,0.9999960064888,0.9999951124191284,0.002981978002935648,0.0032067655120044947
1,0.9999998807907104,0.9999983310699463,0.9999982118606567,0.0018231394933536649,0.0019477636087685823
1,1.0,0.9999964833259583,0.9999962449073792,0.003318951465189457,0.003407169133424759
1,1.0,0.9999974370002747,0.9999966621398926,0.002318392274901271,0.0025316677056252956
1,0.9999999403953552,0.9999983310699463,0.9999982118606567,0.0019099900964647532,0.0019990706350654364
1,1.0,0.9999992847442627,0.9999994039535522,0.0013981717638671398,0.001361262984573841
1,0.9999999403953552,0.9999954700469971,0.999995231628418,0.0032001850195229053,0.0032730717211961746
1,1.0,0.9999977350234985,0.9999977946281433,0.002113768132403493,0.0021497169509530067
1,1.0000001192092896,0.9999960660934448,0.9999962449073792,0.0031644534319639206,0.0032729157246649265
1,1.0,0.9999995827674866,0.9999995827674866,0.0014286973746493459,0.0013847530353814363
1,1.0000001192092896,0.9999992847442627,0.9999992847442627,0.0015984108904376626,0.0016294282395392656
