n_snp,diff_norm,ref_norm,rel_diff
1,0.2003229558467865,84.35166931152344,0.0023748546707115376
1,0.3440020680427551,98.55256652832031,0.0034905439823721064
1,0.49176985025405884,116.56260681152344,0.00421893318711745
1,0.15747538208961487,115.0539779663086,0.0013687087128419722
2,0.30753982067108154,114.62789916992188,0.0026829403914590748
1,0.12721820175647736,114.11468505859375,0.0011148276112855713
2,0.43274930119514465,98.8633804321289,0.0043772456424574025
1,0.18938089907169342,108.91374206542969,0.001738815465158871
2,0.4244323968887329,111.4876937866211,0.0038069887578898527
1,0.13682779669761658,111.49675750732422,0.0012271908148416635
1,0.31088122725486755,110.04904174804688,0.0028249335234251144
1,0.12954998016357422,108.98110961914062,0.001188737943817201
0,0.06294050067663193,116.15265655517578,0.0005418774098096793
1,0.27467936277389526,113.54680633544922,0.0024190848834833374
1,0.1035933569073677,109.77454376220703,0.0009436919831957674
0,0.09289964288473129,103.45966339111328,0.0008979310374666361
2,0.2473146617412567,110.88306427001953,0.002230409696642244
1,0.37854763865470886,112.54469299316406,0.0033635316653953798
0,0.12600024044513702,106.25482940673828,0.001185830716106223
1,0.22494974732398987,114.19483947753906,0.001969876645504941
2,0.3571053147315979,114.9026870727539,0.003107893503878517
1,0.18382970988750458,110.98588562011719,0.0016563341262754566
1,0.1995711624622345,112.02734375,0.0017814504546996767
2,0.30040669441223145,114.9776382446289,0.002612740172772376
0,0.059073690325021744,112.36732482910156,0.0005257194688479625
0,0.07488346099853516,106.83306884765625,0.0007009389677396503
0,0.11474498361349106,107.87532043457031,0.0010636815089053423
1,0.21091340482234955,104.51397705078125,0.0020180401777254247
0,0.07439937442541122,114.91246795654297,0.0006474438827085953
0,0.052413210272789,114.65364837646484,0.00045714385032642323
0,0.07944995909929276,113.34103393554688,0.0007009814216488725
0,0.09943593293428421,108.6163558959961,0.0009154784481031342
2,0.37055253982543945,114.34408569335938,0.0032406795469873575
1,0.305330753326416,98.8803939819336,0.0030878796193126302
1,0.18834297358989716,109.75882720947266,0.001715971082949421
1,0.20227770507335663,113.83708190917969,0.0017769052199944453
0,0.07993929833173752,101.53087615966797,0.000787339786234333
0,0.07353003323078156,107.36730194091797,0.0006848456830110495
0,0.19661769270896912,115.6302719116211,0.0017003998127691734
0,0.11155768483877182,115.12171173095703,0.0009690412274227259
1,0.47967299818992615,111.96903991699219,0.004283978844022686
0,0.1521138995885849,112.85069274902344,0.0013479217174756884
1,0.14331743121147156,116.4560317993164,0.0012306570041682703
2,0.22576121985912323,113.56592559814453,0.0019879309631833067
0,0.07767277956008911,116.10646057128906,0.000668978962737377
0,0.09217425435781479,97.63300323486328,0.0009440891020844962
1,0.3823969066143036,118.09921264648438,0.0032379293480894085
0,0.08186068385839462,116.46846008300781,0.0007028570979649941
0,0.1533590406179428,66.86869812011719,0.0022934354179060252
0,0.094637930393219,107.30609130859375,0.000881943692469952
1,0.3417656719684601,114.39786529541016,0.00298751791465616
1,0.13146895170211792,94.97968292236328,0.0013841797283065378
1,0.41047972440719604,114.4861068725586,0.0035854108032874754
0,0.09823232889175415,78.89220428466797,0.0012451462065542105
1,0.3963156044483185,112.22517395019531,0.003531432302561637
4,0.42744338512420654,115.1583480834961,0.003711788092117184
1,0.2193204164505005,105.87940216064453,0.002071417215954229
1,0.11481618881225586,114.15823364257812,0.0010057635367041308
1,0.2649734318256378,111.46119689941406,0.002377270648410117
1,0.2383480966091156,107.25558471679688,0.0022222441585532547
0,0.10246044397354126,99.21859741210938,0.0010326737793718926
0,0.5097426772117615,115.26782989501953,0.0044222458050612295
2,1.1178433895111084,111.1944351196289,0.010053051560615176
